SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LONG_DEG,LAT_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,As,Al,B_,Ba,Ca,Co,Cr,Cu,Fe,K_,Li,Mg,Mn,Na,P_,Si,SO4,Sr,V_,Zn
S98_02701,RIP1640,9/5/1998,90.093,22.372,1993,DTW,322,Barisal,Jhalakati,Kathalia,Amua,Banshbaria,1424315169,0.5,< 0.04,1.2,0.25,92.9,< 0.008,< 0.02,< 0.008,0.103,9.1,0.015,52.8,0.182,1690,2.6,7.85,< 0.2,1.52,< 0.006,0.028
S98_02715,RIP2184,16/04/1998,89.41,23.942,1977,STW,42,Rajshahi,Pabna,Sujanagar,Sujanagar,Sujanagar,5768385915,0.5,< 0.04,0.03,0.06,91.2,< 0.008,< 0.02,< 0.008,0.087,1.4,0.003,36.6,1.79,52.4,0.4,19.9,< 0.2,0.424,0.007,0.017
S98_02979,RIP0490,2/6/1998,91.603,24.572,1995,STW,38,Sylhet,Habiganj,Nabiganj,Debpara,Fatarchar,6367721334,0.5,< 0.04,0.02,0.075,14.7,< 0.008,< 0.02,< 0.008,1.37,2.6,< 0.003,6.59,0.146,60.4,0.3,20.8,< 0.2,0.159,< 0.006,< 0.008
S98_02992,RIP0506,4/6/1998,91.175,23.791,1989,STW,20,Chittagong,Brahamanbaria,Kasba,Gopinathpur,Gopinathpur,2126350395,0.5,< 0.04,< 0.01,0.027,14.5,< 0.008,< 0.02,< 0.008,0.128,1.8,< 0.003,4.57,0.023,22,< 0.2,27.8,2.5,0.144,< 0.006,< 0.008
S98_03108,RIP1056,26/03/1998,89.555,22.811,1997,DTW,310,Khulna,Khulna,Khulna Metro,Ward 06,Bakshipara,4476306047,0.5,< 0.04,0.17,0.113,38.4,< 0.008,< 0.02,< 0.008,0.019,5.3,0.006,23.2,0.027,141,< 0.2,14.1,< 0.2,0.369,< 0.006,< 0.008
S98_03167,RIP1124,4/4/1998,89.402,23.301,1992,STW,55,Khulna,Magura,Shalikha,Shalikha,Sarusuna,4558559865,0.5,< 0.04,0.09,0.067,87.4,< 0.008,< 0.02,< 0.008,0.042,1.5,0.005,39.1,0.585,123,< 0.2,21.5,3.9,0.436,< 0.006,< 0.008
S98_03244,RIP1214,4/3/1998,89.467,23.462,1997,STW,53,Khulna,Magura,Magura Sadar,Chaulia,Buzruk srikundi,4555727265,0.5,< 0.04,0.02,0.035,71.9,< 0.008,< 0.02,< 0.008,0.036,1.8,0.01,19,0.54,13.7,< 0.2,20.9,2.3,0.285,< 0.006,< 0.008
S98_03652,RIP1698,7/5/1998,90.114,22.578,1998,DTW,282,Barisal,Jhalakati,Rajapur,Suktagarh,Narikelbaria,1428481649,0.5,0.02,0.8,0.028,8.4,< 0.003,< 0.002,< 0.008,0.158,3.5,0.012,5.14,0.019,350,0.3,10.9,0.3,0.11,< 0.002,0.005
S98_03668,RIP1716,7/5/1998,90.175,22.681,1996,DTW,332,Barisal,Jhalakati,Jhalakati Sadar,Kirtipasha,Tarpasa,1424066950,0.5,0.02,1.2,0.014,6.2,< 0.003,< 0.002,< 0.008,0.069,2.3,0.011,2.93,0.011,341,0.3,11.3,1.3,0.0668,< 0.002,0.013
S98_03670,RIP1718,9/5/1998,90.126,22.398,1985,DTW,258,Barisal,Jhalakati,Kathalia,Kathalia,Kathalia,1424363529,0.5,0.03,0.6,0.149,36.1,< 0.003,< 0.002,< 0.008,0.25,12.1,0.016,34.3,0.099,710,0.3,9.97,1.4,0.433,< 0.002,0.01
S98_03808,RIP1877,19/05/1998,89.498,23.613,1998,STW,56,Dhaka,Rajbari,Baliakandi,Jungal,Potra,3820766804,0.5,0.04,< 0.1,0.072,131,< 0.003,< 0.002,< 0.008,0.1,3.2,0.013,38,0.793,56.2,< 0.1,23.9,4.6,0.502,< 0.002,0.013
S98_03812,RIP1881,19/05/1998,89.628,23.616,1993,DTW,167,Dhaka,Rajbari,Baliakandi,Jamalpur,Brimagura,3820757271,0.5,0.05,< 0.1,0.027,74,< 0.003,< 0.002,< 0.008,0.208,2.4,0.067,27.1,0.943,364,0.1,18.2,38.9,0.417,< 0.002,0.011
S98_04072,RIP2233,18/04/1998,89.442,24.076,1997,STW,38,Rajshahi,Pabna,Santhia,Bhulbaria,Debipur,5767217260,0.5,0.17,< 0.1,0.065,78.2,< 0.003,< 0.002,< 0.008,0.522,2.1,0.008,32.9,1.74,60.7,0.1,22.5,4.6,0.444,0.003,0.07
S98_04380,RIP3346,21/05/1998,91.913,22.171,1998,STW,53,Chittagong,Chittagong,Banshkhali,Pukuria,Chandpur,2150869138,0.5,0.03,< 0.1,0.043,11.3,< 0.003,< 0.002,< 0.008,8.28,2,0.019,6.14,0.481,20.5,0.3,37.3,2.9,0.128,< 0.002,0.037
S98_04436,RIP3456,23/05/1998,92.085,21.325,1996,Tara,64,Chittagong,Cox's Bazar,Ramu,Khumiapalong,Dhoapalong,2226657204,0.5,0.02,< 0.1,0.021,16.3,< 0.003,< 0.002,< 0.008,0.338,6.4,0.008,15.8,0.155,34.7,0.5,18.2,3.3,0.179,< 0.002,0.032
S99_04046,RIP4046,15/05/1999,90.9744,24.2194,1965,HTW,79.9,Dhaka,Kishoreganj,Bajitpur,Dighirpar,UP office Dighirpar,3480625279,0.5,0.02,< 0.1,0.049,30.5,< 0.003,< 0.002,< 0.008,0.052,1.3,0.007,3.66,0.039,51.7,< 0.1,17.2,< 0.2,0.243,< 0.002,0.026
S99_04114,RIP4114,23/05/1999,90.6539,24.6888,1997,TARA,64,Dhaka,Mymensingh,Ishwarganj,Sohagi,Bagaputa,3613185019,0.5,0.07,< 0.1,0.015,29.7,< 0.003,< 0.002,< 0.008,0.045,1.4,< 0.004,7.35,0.29,8.5,0.2,28.2,2.1,0.162,0.005,0.065
S99_04191,RIP4191,3/6/1999,90.5578,23.9047,1979,HTW,63.4,Dhaka,Gazipur,Kaliganj (G),Tumulia,Tiori,3333494957,0.5,0.15,< 0.1,0.219,76.4,< 0.003,< 0.002,< 0.008,4.75,3.8,0.007,36.4,0.811,109,0.2,28,0.5,0.49,< 0.002,0.095
S99_04211,RIP4211,10/6/1999,89.1735,24.9176,1989,HTW,18,Rajshahi,Bogra,Dubchachia,Chamrul,Daimpur,5103313276,0.5,0.05,< 0.1,0.03,29.1,< 0.003,< 0.002,< 0.008,0.665,1.1,< 0.004,10.2,0.399,15,< 0.1,26.9,1.5,0.108,< 0.002,0.011
S99_04226,RIP4226,14/06/1999,89.3191,24.709,1991,TARA,25.3,Rajshahi,Bogra,Bogra Sadar,Qohail,Khadas,5102030559,0.5,0.06,< 0.1,0.042,40.3,< 0.003,< 0.002,< 0.008,0.037,1.2,0.012,11.5,0.466,18.9,< 0.1,24.8,3.5,0.121,< 0.002,0.017
S99_04227,RIP4227,14/06/1999,89.3293,24.737,1985,HTW,18.9,Rajshahi,Bogra,Bogra Sadar,Kharna,Haringari,5102038423,0.5,0.04,< 0.1,0.017,27.4,< 0.003,< 0.002,< 0.008,0.075,0.8,0.007,8.19,0.432,24.5,0.2,22.8,0.8,0.101,< 0.002,0.009
S99_05033,RIP5033,16/05/1999,90.7244,24.8671,1988,HTW,56.4,Dhaka,Netrokona,Netrokona Sadar,Kailathi,Toynagar,3727431589,0.5,0.06,< 0.1,0.014,36,< 0.003,< 0.002,< 0.008,0.064,0.7,< 0.004,12.2,0.017,43,0.2,19.2,0.5,0.178,0.003,0.018
S99_05126,RIP5126,28/05/1999,89.8367,25.125,1997,HTW,22.6,Dhaka,Jamalpur,Islampur,Goalerchar,Mahalgiri,3392947681,0.5,0.05,< 0.1,0.076,57.9,< 0.003,< 0.002,< 0.008,0.085,4.3,0.007,26.7,1.17,23.8,< 0.1,14.7,25.6,0.224,< 0.002,0.035
S99_05161,RIP5161,2/6/1999,90.6748,23.9399,1998,TARA,69.5,Dhaka,Narsingdi,Palash,Jinardi,Kuraitali (Barar Char),3686379647,0.5,0.05,< 0.1,0.049,29.2,< 0.003,< 0.002,< 0.008,0.115,1.7,< 0.004,9.58,0.057,33.8,0.1,33.6,4.5,0.199,0.002,0.021
S99_05311,RIP5311,26/06/1999,88.7704,25.6289,1994,HTW,19.2,Rajshahi,Dinajpur,Chirirbandar,Amarpur,Amarpur,5273023020,0.5,< 0.01,< 0.1,0.035,31.4,< 0.003,< 0.002,< 0.008,0.131,1.3,< 0.004,6.79,0.047,26.1,< 0.1,22.6,8.2,0.192,< 0.002,0.005
S99_05329,RIP5329,29/06/1999,89.0033,25.3382,,TARA,28.3,Rajshahi,Dinajpur,Hakimpur,Khatta Madhabpara,Khatta,5274781583,0.5,< 0.01,< 0.1,0.018,10.7,< 0.003,< 0.002,< 0.008,1.36,1.2,< 0.004,4.32,0.183,14.4,< 0.1,31.9,0.2,0.0524,< 0.002,0.235
S99_06238,RIP6238,16/06/1999,89.6892,25.9687,1984,HTW,29.9,Rajshahi,Kurigram,Nageshwari,Nageshwari,Paschim Nageshwari,5496156793,0.5,< 0.01,< 0.1,0.04,12.4,< 0.003,0.003,< 0.008,6.4,2.2,< 0.004,5.36,0.162,6.5,< 0.1,16.6,6.3,0.0459,< 0.002,0.057
S99_06316,RIP6316,28/06/1999,88.7341,26.1222,1993,HTW,13.7,Rajshahi,Panchagarh,Debiganj,Debiganj,Khutamara,5773438581,0.5,< 0.01,< 0.1,0.021,8.8,< 0.003,< 0.002,< 0.008,2.82,2.2,< 0.004,2.07,0.25,5.3,0.1,21,3.3,0.0494,< 0.002,0.012
S99_06331,RIP6331,1/7/1999,88.3681,25.7745,1997,HTW,20.7,Rajshahi,Thakurgaon,Pirganj (T),Jabarhat,Jabarhat,5948251486,0.5,< 0.01,< 0.1,0.019,10.8,< 0.003,< 0.002,< 0.008,0.815,2.2,< 0.004,3.71,0.353,10.8,0.1,23.3,2.2,0.0695,< 0.002,0.009
S99_07034,RIP7034,16/05/1999,90.7674,24.6633,1985,HTW,67.1,Dhaka,Netrokona,Kendua,Sandikuna,Shandikuna Bazar,3724794909,0.5,0.01,< 0.1,0.013,26.2,< 0.003,< 0.002,< 0.008,0.099,1,< 0.004,7.92,0.322,9.5,0.2,28,0.8,0.135,0.005,0.018
S99_07036,RIP7036,16/05/1999,90.7863,24.6619,1999,HTW,54.9,Dhaka,Netrokona,Kendua,Maska,Maska,3724761642,0.5,0.03,< 0.1,0.032,43.4,< 0.003,< 0.002,0.01,0.188,1.7,< 0.004,14,0.152,26.5,0.3,22.3,0.5,0.265,0.006,0.041
S99_07124,RIP7124,30/05/1999,90.0247,24.8714,1997,TARA,43.3,Dhaka,Jamalpur,Jamalpur Sadar,Sharifpur,Anantabari,3393677016,0.5,< 0.01,< 0.1,0.022,22.2,< 0.003,< 0.002,0.009,0.084,0.8,0.007,10.2,0.169,18.5,< 0.1,34.9,2.2,0.124,< 0.002,0.07
S99_07266,RIP7266,18/06/1999,89.132,25.9461,1997,HTW,32,Rajshahi,Rangpur,Gangachara,Nohali,Purba Kuchua,5852777781,0.5,0.02,< 0.1,0.015,7.6,< 0.003,< 0.002,< 0.008,0.975,7.3,< 0.004,2.05,0.217,5.3,< 0.1,15.2,2.3,0.0362,< 0.002,0.009
S98_02855,RIP0345,25/05/1998,91.903,24.597,1991,Tara,52,Sylhet,Maulvibazar,Rajnagar,Munshibazar,Gayaspur,6588042362,0.6,< 0.04,< 0.01,0.025,3.22,< 0.008,< 0.02,< 0.008,0.432,2.1,0.007,1.59,0.037,1.5,< 0.2,12.6,0.5,0.026,< 0.006,0.021
S98_03473,RIP1489,21/04/1998,89.155,23.844,1996,STW,39,Khulna,Kushtia,Kushtia Sadar,Jiaraakhi,Kamalapur,4507956527,0.6,< 0.04,0.04,0.061,108,< 0.008,< 0.02,< 0.008,0.069,1.8,0.005,33.7,1.01,30.2,< 0.2,20.6,< 0.2,0.389,< 0.006,0.024
S98_03498,RIP1516,28/04/1998,90.268,22.505,1995,DTW,331,Barisal,Barisal,Bakerganj,Niamati,Purba mahespur,1060781815,0.6,< 0.04,0.53,0.021,7.52,< 0.008,< 0.02,< 0.008,0.101,2.8,0.004,5.58,0.027,237,0.6,10.3,3.9,0.0946,< 0.006,< 0.008
S98_03577,RIP1610,3/5/1998,90.207,22.066,1994,DTW,299,Barisal,Patuakhali,Kalapara,Chakamaiya,Chakamaiya,1786611127,0.6,< 0.04,0.72,0.013,4.67,< 0.008,< 0.02,< 0.008,0.127,3.3,0.007,3.98,0.009,289,2.2,9.93,1,0.0562,< 0.006,< 0.008
S98_03626,RIP1668,3/5/1998,90.084,22.091,1996,DTW,313,Barisal,Barguna,Barguna Sadar,M.baliatali,Nimtaki,1042885732,0.6,0.24,1.09,0.014,4.37,< 0.008,< 0.02,< 0.008,0.198,3.3,0.005,3.22,0.015,348,2.1,9.59,1.2,0.0528,0.007,< 0.008
S98_03855,RIP1935,28/04/1998,90.531,22.814,1985,DTW,295,Barisal,Barisal,Mehendiganj,Mehendiganj,Chunarchar,1066287315,0.6,< 0.01,0.4,0.012,3.4,< 0.003,< 0.002,< 0.008,0.072,2.2,0.009,2.06,0.026,216,0.1,11.1,< 0.2,0.0543,< 0.002,< 0.004
S98_03961,RIP2105,5/4/1998,88.65,24.484,1987,STW,37,Rajshahi,Rajshahi,Paba,Bargachhi,Bargachhi,5817207088,0.6,0.05,0.2,0.161,109,< 0.003,< 0.002,< 0.008,0.932,2.7,0.007,32.4,0.32,50.3,0.1,23.4,< 0.2,0.358,< 0.002,0.017
S98_04029,RIP2185,16/04/1998,89.419,23.974,1990,STW,69,Rajshahi,Pabna,Sujanagar,Tantibanda,Tantibanda,5768395951,0.6,0.08,< 0.1,0.055,95.2,< 0.003,< 0.002,< 0.008,0.091,2.7,0.012,30.2,0.265,45.3,0.1,26.6,< 0.2,0.443,0.006,0.028
S98_04052,RIP2211,17/04/1998,89.326,23.981,1988,STW,31,Rajshahi,Pabna,Pabna Sadar,Bharara,Par Chitalia,5765517772,0.6,0.06,< 0.1,0.038,94.5,< 0.003,< 0.002,< 0.008,0.202,1.2,0.008,27.5,0.682,44,< 0.1,21.3,1.5,0.431,< 0.002,0.014
S98_04056,RIP2215,19/04/1998,89.211,24.048,1997,Tara,46,Rajshahi,Pabna,Pabna Sadar,Malugachha,Malugachha,5765577677,0.6,0.07,< 0.1,0.093,122,< 0.003,< 0.002,< 0.008,0.048,1.8,0.017,29,0.656,39.2,< 0.1,20.7,6,0.666,0.004,0.028
S98_04262,RIP3213,11/5/1998,90.645,22.63,1982,DTW,304,Barisal,Bhola,Bhola Sadar,Uttar Dighaldi,Uttar dighaldi,1091865994,0.6,0.06,0.2,0.041,31.1,< 0.003,< 0.002,< 0.008,0.109,5.1,< 0.004,20.1,0.037,108,< 0.1,17.9,< 0.2,0.344,< 0.002,0.008
S98_04412,RIP3383,22/05/1998,91.879,22.407,1993,STW,31,Chittagong,Chittagong,Chandgaon,SMA W28,Char mahara,2151915259,0.6,< 0.01,< 0.1,0.063,7.1,< 0.003,< 0.002,< 0.008,4.35,11.4,0.015,9.15,0.389,61.9,0.5,29.6,< 0.2,0.0879,< 0.002,0.023
S98_04415,RIP3389,23/05/1998,92.075,21.657,1998,STW,46,Chittagong,Cox's Bazar,Chakaria,Dulahazana,Dulahazana,2221633290,0.6,0.04,< 0.1,0.049,9.7,< 0.003,< 0.002,< 0.008,13.7,3.7,0.013,5.06,0.563,11.1,0.1,30.9,< 0.2,0.12,< 0.002,0.03
S98_04447,RIP3469,25/05/1998,92.035,21.448,1996,STW,48,Chittagong,Cox's Bazar,Cox's Bazar Sadar,P.machhukhali,P. machhukhali,2222471837,0.6,< 0.01,< 0.1,0.019,6,< 0.003,< 0.002,< 0.008,12,2,0.01,3.89,0.795,11.4,0.2,23.8,5,0.0628,< 0.002,0.018
S99_04001,RIP4001,10/5/1999,90.6821,24.3303,1992,HTW,12.2,Dhaka,Kishoreganj,Pakundia,Pakundia,Sadar VS centre/DPHE office,3487976820,0.6,0.06,< 0.1,0.053,23.9,< 0.003,< 0.002,< 0.008,0.278,2.7,0.004,14.5,0.263,8.2,< 0.1,20,8.6,0.0806,< 0.002,0.077
S99_04099,RIP4099,22/05/1999,90.2394,24.6093,1997,TARA,54.9,Dhaka,Mymensingh,Fulbaria,Bakta,Bakta,3612017090,0.6,0.06,< 0.1,0.057,29.2,< 0.003,< 0.002,0.011,0.078,1,< 0.004,10.4,0.332,25.4,0.1,26.5,< 0.2,0.157,< 0.002,0.058
S99_04204,RIP4204,9/6/1999,89.4131,24.6745,1988,TARA,25.6,Rajshahi,Bogra,Sherpur,Pourashava ward 02,Thana council road,5108802796,0.6,0.04,< 0.1,0.011,22.5,< 0.003,< 0.002,< 0.008,0.048,0.6,< 0.004,10,0.598,17.9,0.1,28.1,10,0.146,< 0.002,0.051
S99_04223,RIP4223,12/6/1999,89.2972,24.6557,1998,HTW,18,Rajshahi,Bogra,Nandigram,Burail,Burail,5106731241,0.6,0.08,< 0.1,0.06,83.8,< 0.003,< 0.002,< 0.008,0.072,1.2,0.013,17.3,0.496,22.1,< 0.1,25.2,17.7,0.252,< 0.002,0.017
S99_04248,RIP4248,16/06/1999,89.675,25.4267,1994,HTW,13.7,Rajshahi,Kurigram,Char Rajibpur,Mohangonj,Baraber,5490876117,0.6,0.07,< 0.1,0.171,128,< 0.003,< 0.002,< 0.008,1.11,7.8,0.009,31.1,1.67,5.2,< 0.1,11.5,8.8,0.439,< 0.002,0.03
S99_04354,RIP4354,4/7/1999,88.5632,26.1239,1989,HTW,19.8,Rajshahi,Thakurgaon,Thakurgaon Sadar,Balia,Bara Balia,5949421184,0.6,< 0.01,< 0.1,0.02,8.5,< 0.003,< 0.002,< 0.008,4.18,5.4,< 0.004,2.19,0.209,6.9,< 0.1,20.9,2.8,0.058,< 0.002,0.02
S99_04379,RIP4379,5/7/1999,88.9946,25.1558,1992,HTW,18.9,Rajshahi,Jaipurhat,Panchbibi,Ayma Rasulpur,Khat Batta,5387431519,0.6,0.04,< 0.1,0.03,26.2,< 0.003,< 0.002,< 0.008,0.743,1.1,0.006,12.5,1.01,26.5,0.1,23.6,0.3,0.137,< 0.002,0.015
S99_05041,RIP5041,17/05/1999,90.5976,24.9466,1978,HTW,73.8,Dhaka,Netrokona,Purbadhala,Purbodhola,Purbodhola,3728394851,0.6,0.04,< 0.1,0.016,21.2,< 0.003,< 0.002,< 0.008,0.097,1.1,< 0.004,8.36,0.653,51.7,0.4,22,0.2,0.132,0.004,0.017
S99_05165,RIP5165,2/6/1999,90.6141,23.9393,1998,TARA,46.3,Dhaka,Narsingdi,Palash,Ghorashal,Ghorashal,3686363410,0.6,0.04,< 0.1,0.051,36.4,< 0.003,< 0.002,< 0.008,0.055,1.3,0.005,12,0.197,72.2,0.2,26.5,27.9,0.247,0.003,0.026
S99_05171,RIP5171,6/6/1999,89.6894,24.2974,1988,HTW,12.2,Rajshahi,Sirajganj,Belkuchi,Belkuchi,Chala,5881127240,0.6,0.06,< 0.1,0.051,43.4,< 0.003,< 0.002,< 0.008,0.078,2.8,< 0.004,11.6,1.11,15.4,< 0.1,16.4,10.3,0.14,< 0.002,0.012
S99_05198,RIP5198,9/6/1999,89.7771,24.1391,1976,HTW,28,Rajshahi,Sirajganj,Chauhali,Gorjane,Rahai Kawdia,5882723742,0.6,0.08,< 0.1,0.09,111,< 0.003,< 0.002,0.01,0.1,4.1,0.004,27.7,1.64,13.1,0.2,19.4,12.5,0.324,< 0.002,0.024
S99_05216,RIP5216,12/6/1999,89.398,25.4498,1994,HTW,17.7,Rajshahi,Gaibandha,Sadullapur,Rasulpur,Taraf Kamal,5328294947,0.6,0.01,0.2,0.082,40.2,0.006,< 0.002,< 0.008,21.7,9.2,< 0.004,15.9,1.2,27,0.7,18.7,15.8,0.159,< 0.002,0.025
S99_05247,RIP5247,17/06/1999,89.2359,25.7191,1998,HTW,18,Rajshahi,Rangpur,Rangpur Sadar,Darshana,Binodpur,5854915193,0.6,0.02,< 0.1,0.028,22.2,< 0.003,< 0.002,< 0.008,0.162,6.4,< 0.004,6.23,0.217,7.8,< 0.1,13,6.9,0.0978,< 0.002,0.044
S99_05301,RIP5301,24/06/1999,88.7267,25.9083,1997,HTW,15.2,Rajshahi,Dinajpur,Khansama,Bherbheri,Shahajpur,5276063872,0.6,< 0.01,< 0.1,0.015,5.1,< 0.003,< 0.002,< 0.008,0.431,3.1,< 0.004,1.42,0.124,3.3,< 0.1,9.79,2,0.0259,< 0.002,0.007
S99_05315,RIP5315,27/06/1999,89.0119,25.394,1998,TARA,28.3,Rajshahi,Dinajpur,Birampur,Deor,Kanazgari,5271035529,0.6,< 0.01,< 0.1,0.021,13.4,< 0.003,< 0.002,< 0.008,1.66,1.5,0.004,6,0.177,14.3,< 0.1,36.2,< 0.2,0.0814,< 0.002,0.035
S99_06067,RIP6067,20/05/1999,90.3919,24.5852,1990,DTW,94.5,Dhaka,Mymensingh,Trishal,Trishal,Trishal,3619485994,0.6,0.02,< 0.1,0.034,31.2,< 0.003,< 0.002,< 0.008,0.49,2.6,0.005,13.4,0.238,23.6,< 0.1,28.4,0.6,0.167,0.002,0.032
S99_06071,RIP6071,20/05/1999,90.3522,24.4812,1998,TARA,53.3,Dhaka,Mymensingh,Trishal,Mokshapur,Mokshapur,3619471707,0.6,0.02,< 0.1,0.09,27.2,< 0.003,< 0.002,< 0.008,0.024,1.7,0.006,12.1,0.514,21.8,0.2,30.5,0.6,0.157,0.005,0.062
S99_06095,RIP6095,24/05/1999,90.4117,24.7269,1992,TARA,64,Dhaka,Mymensingh,Mymensingh Sadar,Kewatkhali,Kewatkhali,3615261598,0.6,0.02,< 0.1,0.038,40.3,< 0.003,< 0.002,< 0.008,1.24,1.7,0.009,16.3,0.31,31.9,< 0.1,25.5,0.5,0.2,< 0.002,0.022
S99_06123,RIP6123,27/05/1999,89.8498,24.2302,1996,HTW,18.3,Dhaka,Tangail,Tangail Sadar,Katuli,Ghoanpara,3939565471,0.6,0.08,< 0.1,0.096,104,< 0.003,< 0.002,< 0.008,0.119,5.3,< 0.004,25.5,1.74,4.7,0.1,14,1.4,0.333,< 0.002,0.024
S99_06129,RIP6129,28/05/1999,90.1725,24.3191,1997,HTW,37.2,Dhaka,Tangail,Sakhipur,Gazaria,Sakhipur,3938527886,0.6,0.03,< 0.1,0.041,41.3,< 0.003,< 0.002,< 0.008,0.466,2,0.009,15.9,0.341,23.6,< 0.1,21.9,0.8,0.197,< 0.002,0.023
S99_06164,RIP6164,2/6/1999,90.3827,23.9456,1994,TARA,65.8,Dhaka,Gazipur,Gazipur Sadar,Gachha,Kalemeswar,3333031576,0.6,0.03,0.1,0.136,41.7,< 0.003,< 0.002,< 0.008,0.57,1.6,0.009,16.7,0.111,51.4,0.1,23.3,0.3,0.259,< 0.002,0.023
S99_06196,RIP6196,10/6/1999,89.2988,24.8909,1996,HTW,14,Rajshahi,Bogra,Kahaloo,Paikar,Maligachha,5105485703,0.6,0.04,< 0.1,0.042,50.5,< 0.003,< 0.002,< 0.008,0.741,1.5,< 0.004,11.8,0.204,22.8,0.1,22.8,2.9,0.147,< 0.002,0.046
S99_06273,RIP6273,22/06/1999,89.226,25.9688,1996,HTW,19.5,Rajshahi,Lalmonirhat,Kaliganj (L),Tushbhandar,Uttar Ghanasayam,5523995986,0.6,< 0.01,< 0.1,0.025,20.1,< 0.003,< 0.002,< 0.008,1.36,6.1,< 0.004,5.16,0.31,7.4,0.1,18.1,3.3,0.0563,< 0.002,0.024
S99_06285,RIP6285,24/06/1999,88.8379,25.8958,1994,HTW,27.1,Rajshahi,Nilphamari,Nilphamari Sadar,Kundapukur,Gurguri,5736450407,0.6,0.01,< 0.1,0.028,12.7,< 0.003,< 0.002,< 0.008,1.75,1.8,< 0.004,5.98,0.639,18.5,0.1,30.2,0.6,0.0839,< 0.002,0.015
S99_06298,RIP6298,26/06/1999,88.9553,26.0742,1982,HTW,22.3,Rajshahi,Nilphamari,Jaldhaka,Golna,Kaliganj,5733636471,0.6,< 0.01,< 0.1,0.004,6,< 0.003,< 0.002,< 0.008,0.155,3.8,< 0.004,1.56,0.175,7.6,< 0.1,7.06,0.7,0.027,< 0.002,0.008
S99_07077,RIP7077,24/05/1999,90.0442,25.1402,1997,TARA,34.1,Dhaka,Sherpur,Jhenaigati,Jhenaigati,Surihara,3893725981,0.6,0.03,< 0.1,0.026,20.9,< 0.003,< 0.002,< 0.008,0.157,1.1,< 0.004,8.61,0.175,32,0.1,28.2,0.3,0.109,< 0.002,0.029
S99_07111,RIP7111,29/05/1999,89.828,25.1903,1996,HTW,18.9,Dhaka,Jamalpur,Bakshiganj,Kerurchar,Rabiarchar,3390773808,0.6,0.02,< 0.1,0.055,32.7,< 0.003,< 0.002,0.011,0.194,3.4,< 0.004,16.4,0.41,20.4,0.1,15.6,10.6,0.108,0.003,0.023
S99_07123,RIP7123,30/05/1999,89.982,24.8651,1997,TARA,43.3,Dhaka,Jamalpur,Jamalpur Sadar,Sharifpur,Goda Simla,3393677407,0.6,0.02,< 0.1,0.02,22.6,< 0.003,< 0.002,0.022,0.851,1.3,0.009,11.4,0.274,14.6,< 0.1,33.1,1.9,0.115,< 0.002,0.046
S99_07155,RIP7155,5/6/1999,89.0939,24.486,1995,TARA,31.7,Rajshahi,Natore,Singra,Sherkole,Sherkole,5699179883,0.6,0.04,< 0.1,0.047,79.4,< 0.003,< 0.002,0.018,0.358,1.6,0.01,21.9,0.804,33.5,0.1,22.1,21,0.278,0.003,0.04
S99_07239,RIP7239,16/06/1999,89.526,25.5659,1998,HTW,13.7,Rajshahi,Gaibandha,Sundarganj,Dahabanda,Sundarganj,5329131877,0.6,0.04,< 0.1,0.031,30.3,< 0.003,< 0.002,< 0.008,0.105,4.5,< 0.004,12.1,0.392,22.2,0.2,18.7,8,0.0897,0.002,0.01
S99_07267,RIP7267,18/06/1999,89.1008,25.8665,1997,HTW,16.8,Rajshahi,Rangpur,Gangachara,Betgari,Khaprikhal,5852721517,0.6,0.02,< 0.1,0.008,9.5,< 0.003,< 0.002,< 0.008,0.683,5.5,< 0.004,2.54,0.176,4.2,< 0.1,14.7,9.5,0.0355,< 0.002,0.006
S99_07268,RIP7268,18/06/1999,89.1145,25.8267,1993,HTW,10.7,Rajshahi,Rangpur,Gangachara,Khaleya,Dakshin Khaleya,5852752299,0.6,0.03,< 0.1,0.039,24.4,< 0.003,< 0.002,< 0.008,0.047,17.2,< 0.004,5.97,0.085,29.5,< 0.1,12.1,11,0.117,< 0.002,0.01
S99_07365,RIP7365,4/7/1999,88.9317,24.6765,1990,TARA,29,Rajshahi,Naogaon,Raninagar,Gona,Nandabari,5648531754,0.6,< 0.01,< 0.1,0.026,33.6,< 0.003,< 0.002,< 0.008,0.215,1.2,0.009,9.21,0.242,21.8,< 0.1,26.2,11.4,0.106,< 0.002,0.014
S99_07366,RIP7366,4/7/1999,88.9184,24.7117,1999,TARA,27.1,Rajshahi,Naogaon,Raninagar,Mirat,Ataikola,5648563047,0.6,< 0.01,< 0.1,0.045,51.6,< 0.003,< 0.002,< 0.008,0.625,2.5,0.004,22,0.186,49.8,< 0.1,26.4,5.5,0.212,< 0.002,0.04
S98_02732,RIP0013,10/3/1998,90.551,23.865,1988,STW,56,Dhaka,Narayanganj,Rupganj,Daulatpur,Debagram,3676831328,0.7,< 0.04,< 0.01,0.01,22.4,< 0.008,< 0.02,< 0.008,0.104,1.9,< 0.003,6.52,0.003,23.9,< 0.2,34.5,0.9,0.162,< 0.006,< 0.008
