ID,Longitude,Latitude
196,-106.14433,41.93471998
197,-106.13759,41.38415003
198,-106.13345,42.76057001
199,-106.1199,40.39921003
200,-106.0667734,37.56274856
201,-106.05588,32.50181003
202,-106.04379,39.18152996
203,-106.0053099,43.53262998
204,-105.99534,38.11812997
205,-105.95476,38.17539998
206,-105.93756,42.53951996
207,-105.93395,42.29213
208,-105.9317535,40.14864837
209,-105.92723,37.60193997
210,-105.91983,40.79772
211,-105.9184542,39.27477929
212,-105.8886099,38.27434001
213,-105.88127,37.79412996
214,-105.8784099,42.80001004
215,-105.83837,33.69546003
216,-105.79595,34.30743
217,-105.71025,43.28974999
218,-105.67646,36.84460002
219,-105.6483947,38.84398147
220,-105.645,44.49573996
221,-105.6393093,41.57095687
222,-105.59893,41.69385998
223,-105.57823,37.53874002
224,-105.5532,36.73140001
225,-105.53732,38.05137002
226,-105.53243,44.83989999
227,-105.5213699,40.64352999
228,-105.5018209,36.15044246
229,-105.4820954,40.84707337
230,-105.46142,40.03581
231,-105.45826,43.65199003
232,-105.44789,43.39276
233,-105.4344399,42.56750001
234,-105.4009351,44.92136235
235,-105.3665901,44.40823997
236,-105.34428,40.57124
237,-105.3156,37.18439003
238,-105.30963,35.35360003
239,-105.308924,44.09902245
240,-105.3065901,36.32419
241,-105.28944,43.42189999
242,-105.26626,43.18862997
243,-105.2522,42.05724999
244,-105.1906716,41.54780626
245,-105.1898702,35.52246576
246,-105.15618,42.01929
247,-105.15459,34.91246999
248,-105.14362,32.27705996
249,-105.12488,38.06527002
250,-105.1105228,36.52292937
251,-105.07104,36.64201996
252,-105.01036,42.72078996
253,-105.00798,38.97708999
254,-104.9563264,40.7084946
255,-104.9098287,37.13303052
256,-104.9035568,44.58014232
257,-104.8885933,35.77698536
258,-104.8406783,39.64298018
259,-104.83502,40.10837004
260,-104.81955,42.79056002
261,-104.8102829,38.94078518
262,-104.729801,38.64987718
263,-104.7204639,44.45052838
264,-104.6879828,39.15531456
265,-104.68767,32.19851001
266,-104.67445,37.72276998
267,-104.66926,39.50217996
268,-104.65788,43.57870003
269,-104.64518,33.78767
270,-104.61908,34.52684997
271,-104.60513,37.12013999
272,-104.59605,42.00304998
273,-104.58782,36.55658003
274,-104.55727,43.69976
275,-104.5425799,43.80058
276,-104.53521,38.92890004
277,-104.50697,44.13981004
278,-104.5048701,39.61835
279,-104.49756,40.39664999
280,-104.49469,34.39301996
281,-104.47885,42.44922
282,-104.44425,39.95647999
283,-104.4320164,40.91301225
284,-104.42155,39.61246003
285,-104.40313,43.32969997
