"x","y","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12","Class","Landuse","Class_ID"
679676.864714958,4764061.62856422,219,550,276,935,3172,3172,4840,4853,2541,1171,"Class_4","Grass",4
679679.382360822,4764061.62856422,219,550,276,935,3172,3172,4840,4853,2541,1171,"Class_4","Grass",4
679681.900006686,4764061.62856422,309,655,424,1001,3160,3160,4734,4718,2572,1232,"Class_4","Grass",4
679684.417652549,4764061.62856422,309,655,424,1001,3160,3160,4734,4718,2572,1232,"Class_4","Grass",4
679686.935298413,4764061.62856422,309,655,424,1001,3160,3160,4734,4718,2572,1232,"Class_4","Grass",4
679689.452944277,4764061.62856422,309,655,424,1001,3160,3160,4734,4718,2572,1232,"Class_4","Grass",4
679691.970590141,4764061.62856422,311,648,409,1001,3160,3160,4450,4718,2572,1232,"Class_4","Grass",4
679694.488236005,4764061.62856422,311,648,409,1001,3160,3160,4450,4718,2572,1232,"Class_4","Grass",4
679697.005881868,4764061.62856422,311,648,409,1001,3160,3160,4450,4718,2572,1232,"Class_4","Grass",4
679699.523527732,4764061.62856422,311,648,409,1001,3160,3160,4450,4718,2572,1232,"Class_4","Grass",4
679702.041173596,4764061.62856422,232,578,350,972,3052,3052,4532,4609,2509,1211,"Class_4","Grass",4
679704.55881946,4764061.62856422,232,578,350,972,3052,3052,4532,4609,2509,1211,"Class_4","Grass",4
679707.076465324,4764061.62856422,232,578,350,972,3052,3052,4532,4609,2509,1211,"Class_4","Grass",4
679709.594111187,4764061.62856422,232,578,350,972,3052,3052,4532,4609,2509,1211,"Class_4","Grass",4
679712.111757051,4764061.62856422,234,613,381,972,3052,3052,4550,4609,2509,1211,"Class_4","Grass",4
679714.629402915,4764061.62856422,234,613,381,972,3052,3052,4550,4609,2509,1211,"Class_4","Grass",4
679717.147048779,4764061.62856422,234,613,381,972,3052,3052,4550,4609,2509,1211,"Class_4","Grass",4
679719.664694643,4764061.62856422,234,613,381,972,3052,3052,4550,4609,2509,1211,"Class_4","Grass",4
679762.464674327,4764061.62856422,652,1004,1560,1660,2634,2634,3227,3788,3084,2424,"Class_1","Parking/road/pavement",1
679764.982320191,4764061.62856422,652,1004,1560,1660,2634,2634,3227,3788,3084,2424,"Class_1","Parking/road/pavement",1
679767.499966055,4764061.62856422,652,1004,1560,1660,2634,2634,3227,3788,3084,2424,"Class_1","Parking/road/pavement",1
678191.45365532,4764059.13729541,412,699,766,907,1686,1686,1885,2260,1652,1110,"Class_2","Building",2
678193.971301184,4764059.13729541,412,699,766,907,1686,1686,1885,2260,1652,1110,"Class_2","Building",2
678196.488947048,4764059.13729541,412,699,766,907,1686,1686,1885,2260,1652,1110,"Class_2","Building",2
679241.311980522,4764059.13729541,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679243.829626386,4764059.13729541,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679246.34727225,4764059.13729541,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679248.864918113,4764059.13729541,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679251.382563977,4764059.13729541,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679253.900209841,4764059.13729541,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679256.417855705,4764059.13729541,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679258.935501568,4764059.13729541,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679261.453147432,4764059.13729541,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679626.511797682,4764059.13729541,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
