"FIPS","x","y","cancer","poverty","smoking","PM25","NO2"
51159,1666241.8376338,1825977.97196367,68.35262117,16.8,29,12.07,2.341
13115,983511.42957817,1300252.57137413,80.80498002,16.6,26.6,13.54,2.058
45009,1378521.09449831,1235921.64078005,65.74848391,27,25.8,11.19,1.185
42023,1467229.20743217,2185659.85089402,62.20174599,11.6,27.6,10.39,1.659
24009,1666038.76772527,1894678.82698307,69.14918074,5.4,23,13.69,3.214
51127,1652922.89754605,1773161.11620588,79.8928812,5.6,24.1,12.09,2.641
13055,968986.58875741,1322457.96867428,87.56890632,17.9,30.5,13.22,1.763
13241,1138683.73749451,1389143.35029522,67.37617827,13.5,25,11.42,0.727
42117,1537131.81323336,2237598.10947155,59.43498927,14,25.2,9.24,1.687
45021,1295852.4807337,1430438.15864578,79.57598908,16.4,30.3,12.19,2.08
51149,1640404.66182072,1734227.04531972,67.20036673,8.7,25.2,12.64,2.812
45089,1492001.49916266,1300584.5257905,73.54588462,29.7,26.3,10.81,1.085
45003,1319815.77321078,1263983.76628018,67.8313841,14.5,25.3,11.72,1.345
13145,1031170.7415248,1134100.57060736,60.16506642,9.4,21.7,13.11,0.915
42049,1307535.89129628,2220156.83565847,69.68374197,14.2,27.6,12.02,2.245
36067,1594290.54217761,2390104.00411377,66.75295302,12.8,24.5,9.59,2.179
37131,1642325.49456611,1646805.02442634,64.450976,22.1,27.2,12.91,1.48
51036,1650666.49791869,1755747.35035004,72.73758569,10.5,27.5,12.61,2.897
51067,1414401.14163473,1670082.51623874,55.669464,11.3,27.5,11.08,1.918
34019,1755884.15912882,2146097.44010194,46.48605424,3.3,16.7,10.95,5.452
13159,1135652.34879952,1212270.72147429,67.51714604,15.4,27.4,12.97,1.749
37173,1121743.84227838,1455205.2714371,75.71095283,17.3,31.6,10.16,0.743
37187,1727246.94092753,1596012.31575298,69.37472549,22.4,27.4,10.34,1.338
13015,1017773.77004225,1301385.21308463,86.40706969,11.6,27.5,14.12,2.437
51071,1337018.76204318,1693779.24267778,83.15958126,11.4,28.3,9.28,1.772
51740,1723227.17681637,1712308.8863085,80.67511168,16.6,26,11.52,2.496
24005,1639584.19749076,1994032.37260657,62.96613107,7.6,23.5,13.41,4.854
24015,1694933.48818388,2018400.30025163,78.42179067,8,26.6,13.25,5.497
37079,1637921.4068431,1539543.08513177,68.8012861,19.9,26,13.5,1.624
24019,1713827.54654046,1896169.76076184,76.84780028,14.3,27.2,13.2,3.092
12093,1496127.69072965,599482.10440464,90.66536734,17.8,31.3,7.82,0.528
37111,1247170.21015129,1494736.27320202,70.68401553,13.2,30,10.54,1.68
13163,1256171.78616588,1199257.2985856,76.49214516,22.9,27,12.72,1.162
13289,1169114.23218058,1143614.23280003,72.91595251,19.7,29.2,12.8,1.101
51107,1563959.50339826,1936625.55247826,49.60697333,3.2,15.6,13.57,3.935
37139,1742060.75761194,1653103.17318211,74.42876897,17.7,26.4,10.46,1.278
37005,1314686.83643753,1596855.37010905,62.86203225,16.7,28.5,9.4,1.193
54009,1294492.84012163,2022929.83924705,76.55196381,12,30.6,14.15,4.349
37067,1397694.60942387,1569407.77320156,67.34737624,13.6,26.1,12.41,2.148
45063,1346738.57247556,1308601.14550603,65.69562786,10.6,24.4,11.81,1.513
10001,1737530.53789688,1972072.59378093,75.58655491,11.9,26.3,14.42,3.466
24027,1619605.45928951,1966057.21112219,41.82028999,4.3,14.4,13.75,5.117
24029,1694052.14477164,1981950.21771754,65.72765927,11.3,23.3,13.65,4.869
24031,1599218.37023659,1948856.13545703,44.45022786,5.6,13.5,14.04,5.633
37091,1679783.71675242,1647579.88678254,70.40848084,22.7,26.4,12.05,1.318
36003,1464342.96392956,2278548.81492911,67.7028495,16.7,25.1,9,1.203
37061,1626897.93535009,1474774.31090769,66.63051675,19.7,27.8,11.98,1.271
13121,1057680.9278785,1255772.74092482,57.52444118,15.7,19.1,14.14,3.96
54001,1363554.58401305,1904822.78874741,73.05241655,20.8,29.1,11.49,1.831
51111,1557688.92888423,1690682.63455655,69.89148979,19.3,29.5,11.51,1.667
51169,1181659.32250582,1602179.4059173,83.58395564,17.3,29.9,11.07,2.128
24037,1668389.55431238,1867466.35790685,71.53915019,7.5,22.6,13.28,2.609
45077,1199434.59100582,1398170.84192774,63.66320006,13.7,24.3,12.17,1.669
45087,1301978.77882948,1390787.37409501,79.64452745,16.3,30.9,12.47,1.427
45083,1264596.64462884,1412493.17875516,74.02806793,13.5,26.6,12.17,1.978
45013,1422969.87511465,1149284.84096429,50.13525195,11.5,21.4,11.05,1.021
45053,1394211.90404217,1150416.92632442,59.99601756,22.4,28.4,11.38,1.051
37051,1545014.12368043,1472239.09033728,75.71023261,16.6,26,13.61,1.649
10003,1719077.98920867,2024828.34109071,66.07246582,9.6,23.7,14.03,5.611
13077,1036448.99726422,1204099.49171999,66.79298167,9.5,23,13.29,2.086
13233,989224.30212922,1271527.44219108,100.1952571,15.5,29.7,13.13,1.986
24003,1652614.18633686,1944776.7409157,69.05446225,5.5,21.8,14.55,4.977
37087,1166148.01294193,1468980.24552732,61.90007973,13.8,29.1,9.82,0.99
54087,1257108.3117385,1839934.88994294,82.48249481,21.5,33.1,11.91,2.519
37197,1361162.47793844,1566766.53377425,68.17443598,11.9,29.7,11.98,2
10005,1762733.34017444,1928788.66048931,70.15831314,11.3,27.6,13.02,3.295
37089,1214308.51181182,1450981.48999606,56.37966287,11.7,25,10.45,1.413
13157,1134916.51517895,1304291.59975748,83.08841485,12.4,27.1,13.11,1.913
37161,1263152.81841619,1465512.04355202,69.37290244,16.3,28.7,11.4,1.783
51141,1385083.58849752,1629473.10304635,64.70048881,14.1,30.2,10.8,1.735
42067,1552118.75498085,2098795.27584893,51.18635301,8.8,26.9,11.7,2.774
42071,1658497.00156221,2064716.08363446,52.56764673,8.8,23.3,13.06,4.547
45019,1486274.33369353,1210584.55652023,61.04157693,15.4,24.2,9.78,1.044
37193,1316547.47298465,1564807.21236691,67.77294662,15.1,28.6,10.84,1.782
13141,1199327.04601262,1215604.88316935,72.95024253,26.8,27.4,13.03,1.488
13011,1137907.67182761,1329501.63897756,59.84281011,13.7,28.4,12.99,1.419
37177,1759744.9631961,1602276.31304389,70.17835505,26.7,29.1,9.14,1.054
42085,1302019.11437152,2140915.86311063,61.3649152,13,27.6,11.8,3.111
42087,1532755.46087745,2104065.45770828,63.52526663,13.1,28.8,11.66,2.612
42027,1509494.37691163,2134790.06423011,48.91039497,14.7,18.8,11.16,2.434
42029,1701412.13339846,2065940.82370428,54.28490351,5.5,18.5,13.04,5.627
45033,1508707.78548159,1391005.58365651,93.93928079,24.7,30.7,12.71,1.397
42031,1372665.6724412,2140579.4749784,58.23615491,13.8,25.1,11.75,2.593
45039,1351833.83927822,1365215.88563464,75.9182369,18.1,28.2,12.53,1.28
13013,1123623.57409489,1286900.03332961,81.87362756,11.2,28.4,13.04,2.335
51147,1534615.89273841,1718046.14303722,70.62913839,20.3,26.2,11.08,1.997
42093,1602149.32144562,2165666.68222683,54.77755381,9.9,26.7,10.73,1.788
42095,1718996.52193982,2159377.20661084,59.17099496,7.9,24.4,10.92,4.144
37175,1187967.65119956,1432054.98969903,49.8093244,12.6,25,10.23,1.116
51077,1303279.47159085,1613812.51212065,73.44723788,15.9,30.5,8.94,0.903
12071,1415805.91450146,496926.66622947,55.22804289,10.2,27.2,7.62,0.602
24033,1636048.46749201,1921250.67532422,44.45022786,8.3,20.5,13.98,5.881
34007,1770779.48025326,2061835.73737791,67.52125835,10.9,24.9,12.24,6.462
37199,1220636.08677373,1515441.14267623,59.45590522,16.6,27.7,10.2,1.078
