"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13111,73.09315784,73.34052139,74.99802046,74.67052206,74.79290087,74.63000528,73.06752222,73.19704678,72.3285569,69.5077804,69.63592347,68.90604522,68.28021236,68.50652637,69.10514812
42115,61.7390407,62.44279868,62.57039503,62.0753825,62.22294856,60.75734089,58.97467749,58.86564171,58.40292332,57.81345487,57.97576053,54.99134758,54.86835595,55.03687256,54.03959278
42075,62.61682586,63.26959922,63.50380574,62.7869993,62.22997963,63.07350273,61.78181519,61.57363546,60.25438941,58.86060412,59.36319847,58.0475763,58.05735047,58.07540572,56.65512315
51683,75.72252767,73.11469885,74.56012157,70.68506751,68.87116592,66.45791169,62.21944947,60.89438673,58.51679219,57.47556777,55.63615563,52.69548356,50.57543773,48.58009893,47.47512707
36057,61.92259684,62.74383228,62.51602922,63.28034798,62.32300714,62.00910543,60.04388892,59.99460214,59.74814646,58.06251349,56.76670916,55.6603044,54.81824277,54.21031442,54.11950203
13149,88.91067278,89.60596663,89.90102472,89.99788546,90.04699798,88.48753358,86.19504825,86.53132737,85.92967887,83.80900268,83.17172978,81.49281283,80.59231642,81.19948818,80.66771084
37153,77.80761549,80.03077938,79.47950958,80.70188799,79.5821382,79.6240545,78.38425513,78.76655975,79.59166889,78.47193342,78.29232896,77.30143327,77.65146057,77.90656242,77.92087238
51735,68.3805722,67.95393242,66.76825086,65.86667931,65.43717219,64.36245653,62.07447008,61.2288899,59.34404748,57.99752989,56.71420043,54.80564258,53.51244787,52.9934472,52.06193032
37003,63.66922981,64.01600565,64.74170278,64.66224139,64.52849356,64.84335443,63.785422,63.80159485,64.22761067,63.32228396,62.45089373,62.86799619,61.84453467,62.48922343,62.8952219
37063,74.84666569,73.45480808,72.28772755,71.07297483,70.24196511,68.8355607,66.72687959,65.23851664,64.30544985,62.308937,60.76419521,59.17222975,58.17358937,57.31902377,55.73964865
36093,66.92738331,66.33827311,65.23535473,65.20563599,64.79940062,64.78951991,62.6018595,62.06752096,60.93252259,60.09653675,58.81771759,58.55605899,56.93761385,55.6573133,56.10473291
51590,74.27090422,75.10884578,74.16829288,75.7403148,75.66424359,73.77225627,72.73879267,73.36678213,72.20954847,69.76085151,70.48844864,69.58840201,68.29341289,69.44374268,68.33930791
51600,49.30102275,49.43614918,48.42711659,46.29112772,45.772005,44.74870462,41.97969255,40.528709,40.19560659,37.91664974,37.07828179,36.0544096,34.02535975,32.95665707,32.55730054
51530,67.62263241,66.65486161,66.79806925,65.82894552,66.49045897,64.74704158,62.17970906,61.38935454,60.39846953,58.87333417,58.27123083,56.91866942,55.95254235,55.05600475,54.79361571
37181,83.77480674,83.01024687,82.94684951,83.228081,83.49672774,82.80425467,80.56785664,80.41993861,78.84097668,77.66128453,76.31708402,75.74239709,74.09737897,74.27357368,74.88072452
13003,96.29310275,95.76552259,96.5395858,96.58627656,97.38431077,95.45170147,94.15445609,93.92538663,93.66920841,91.41217597,91.16605799,88.54147489,87.02831059,86.50640343,86.41350009
51081,81.58930792,81.71111378,82.71259217,81.97113844,81.44393002,81.37260447,78.74856389,79.14241173,76.97796619,76.03335738,75.40244025,74.41699893,73.34553696,73.18936748,72.63485916
36015,75.99244275,76.90801847,76.87467451,76.39878035,76.36687144,75.45215763,72.70324693,73.85237297,72.20543632,72.04095725,72.22294323,70.67426313,68.86004916,69.22406839,68.72328308
51790,68.66153606,66.9800481,66.80465432,66.79351237,65.81527613,66.67565785,64.24951333,63.84504065,63.82045859,61.29547042,60.31693596,60.07942981,58.03401528,59.57590462,58.67943149
37157,79.37107025,78.82192298,80.66763298,79.34238978,80.79507075,81.23667905,78.92628911,78.50754424,79.66516465,77.35105348,76.89913381,77.01681125,75.48838561,75.92319497,76.16456272
13119,70.73060503,71.23998057,72.49829448,72.82920878,73.53047552,72.87275773,71.46632497,72.03013343,72.10163449,71.46106069,71.86810969,71.44917348,70.58775616,70.70543082,71.63509672
42001,58.49575572,59.09036362,58.85813215,58.82341329,58.5986636,58.39921567,56.41947426,56.56900281,54.46442202,54.20844185,53.44059423,52.45476244,52.11181827,51.39975984,51.75716425
51540,60.8833315,60.96361268,60.41780345,59.08947641,57.64153572,56.86442776,54.39431182,53.42070072,52.43509062,51.19195679,49.22970374,48.08988789,46.6204205,46.10455703,44.62608423
24510,100.8115939,99.0757028,95.95549235,94.5817214,94.8228809,93.30721466,88.80114593,86.92570251,85.76734682,82.60766616,79.51340658,79.41215275,76.02463407,74.64958807,74.53444752
42105,69.03274828,69.43037952,70.29020162,70.3068861,70.71782021,70.3131218,68.20778272,68.88679224,68.51229536,67.28471884,66.4061499,66.00272919,65.07112615,65.48255639,65.09189109
13173,94.98104117,95.20376418,95.30614442,94.78736783,94.70202463,92.53936968,90.09740026,88.66507791,87.84540949,84.96189322,84.59773039,84.10683946,82.6434798,82.44827048,82.2247016
13169,65.27816079,66.19519408,65.38864991,65.06100957,64.79458311,64.26031771,62.71961125,62.93743509,61.93910874,61.17177385,61.05436005,60.41281342,58.56520045,58.6623589,58.36530668
