"FIPS","x","y","pop","cancer","poverty","smoking","PM25","NO2","SO2"
13111,1056523.93575797,1376613.19038105,116485,71.870659316,15.92,15.92,27.9333333333333,0.977666666666667,0.0641849542
42115,1653442.06448059,2267301.47632015,194008.4,58.8517688766667,12.22,12.22,26.9666666666667,1.49993333333333,0.0332109802
12049,1403894.26642268,597064.26832158,475512.466666667,60.5114623206667,24.66,24.66,26.9666666666667,1.03526666666667,0.0261546753333333
42075,1633708.27522918,2096683.05912288,232863.8,60.6766540513333,8.98666666666667,8.98666666666667,25.2733333333333,3.61646666666667,0.120281333533333
51683,1584048.851638,1901443.40123556,535115.333333333,61.5653328193333,7.86,7.86,22.9,3.62193333333333,0.118371126666667
12015,1403406.17127847,531558.61636462,208051.733333333,58.24896056,10.3666666666667,10.3666666666667,28.1333333333333,0.640666666666667,0.014608775
36057,1735811.10244197,2409536.49282552,41523.7333333333,59.214609512,14.7466666666667,14.7466666666667,27.18,1.63273333333333,0.00640436766666667
13149,1003646.75130354,1193901.75028757,143675.533333333,85.769279758,17.5066666666667,17.5066666666667,30.2133333333333,1.6258,0.138780485266667
12003,1312076.98188927,900951.55362396,86698.2666666667,92.31967358,15.1933333333333,15.1933333333333,29.9,0.8476,0.027354945
37153,1463896.20214287,1452940.21262024,664190.466666667,78.7675373286667,21.9333333333333,21.9333333333333,29.48,1.48733333333333,0.0223044976666667
51735,1716542.53258685,1743450.71661537,1497229.86666667,60.6334446173333,4.64666666666667,4.64666666666667,21.2333333333333,2.52026666666667,0.0572797066666667
37003,1320295.84469348,1533038.99748472,30575.5333333333,63.6097206013333,12.6733333333333,12.6733333333333,27.7733333333333,1.7928,0.0907054832
37063,1520852.14526388,1580156.87541623,150363.533333333,65.3658781193333,14.8133333333333,14.8133333333333,19.58,1.93746666666667,0.0603786497333333
36093,1768117.62093844,2407434.52678203,134009.266666667,61.6711629406667,11.2466666666667,11.2466666666667,23.7866666666667,2.0944,0.00613167346666667
12067,1232027.78507595,850995.65186521,181432.466666667,81.0980550506667,22.44,22.44,30.3733333333333,0.703933333333333,0.0174414598666667
51590,1463355.62764594,1632109.56123386,269055.733333333,72.1969430966667,21.3733333333333,21.3733333333333,29.7133333333333,2.11326666666667,0.126120542266667
51600,1597510.10994801,1916180.73192248,59110.2666666667,41.1512528326667,5.57333333333333,5.57333333333333,15.58,4.147,0.13029202
51530,1445710.523302,1759556.91563791,31159.2666666667,61.46499598,13.1666666666667,13.1666666666667,31.7,1.66666666666667,0.0280305706666667
12099,1550937.48311462,525952.31890135,115966.2,49.5744601426667,11.6733333333333,11.6733333333333,22.38,0.9204,0.016199167
37181,1555147.59599418,1623916.99457841,762991.933333333,79.4708120846667,22.22,22.22,29.66,1.73886666666667,0.0643982257333333
13003,1240686.99032683,999295.87202687,264758.6,92.7224982686667,24.16,24.16,28.2866666666667,0.636,0.007735251
51081,1622534.83444516,1672340.57486588,69885.3333333333,78.046145918,20.3533333333333,20.3533333333333,28.42,1.58486666666667,0.0433006658
36015,1568845.61527928,2286060.40341933,15358.0666666667,73.233304374,14.36,14.36,26.1133333333333,1.64006666666667,0.0412869544666667
51790,1462544.75751403,1811357.66767174,41482.9333333333,63.441792332,13.5533333333333,13.5533333333333,25.0533333333333,1.5146,0.033238452
37157,1434932.93889,1605912.88776495,15139.8666666667,78.4117937086667,14.5266666666667,14.5266666666667,31.1,2.29733333333333,0.105282199933333
