"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13277,0.85,0.786,0.821,0.889,0.983,1.133,0.951,0.915,0.64,0.619,0.512,0.44,0.358,0.377,0.365
13065,0.732,0.709,0.798,0.719,0.875,0.663,0.605,0.808,0.456,0.482,0.519,0.319,0.479,0.406,0.361
51570,3.148,3.519,3.043,2.831,3.062,3.7,2.649,3.266,3.759,3.438,1.859,1.342,2.432,1.633,2.305
37081,4.314,3.96,4.222,3.566,3.942,3.757,3.021,2.828,2.11,1.688,1.619,1.626,1.523,1.238,1.256
51640,2.421,2.762,2.342,1.801,1.673,1.791,0.537,1.155,1.025,0.829,0.967,0.838,0.561,0.787,0.463
51670,3.749,4.483,3.695,3.463,3.65,4.414,2.677,3.744,5.159,3.859,1.836,1.669,2.309,1.719,2.273
13023,1.155,1.005,1.35,1.141,1.372,1.321,1.065,0.918,0.701,0.73,0.612,0.568,0.579,0.354,0.355
13029,0.911,1.018,1.342,1.288,1.392,1.3,1.246,1.169,0.789,0.709,0.67,0.665,0.666,0.545,0.533
13109,0.866,0.996,1.214,1.148,1.252,1.141,0.895,1.146,0.7,0.619,0.518,0.6,0.465,0.42,0.417
13171,1.769,1.915,2.857,2.303,2.075,1.825,2.126,1.787,1.705,1.379,1.34,1.425,0.864,0.955,0.848
13195,1.399,1.395,1.618,1.529,1.636,1.828,1.246,1.841,1.188,1.534,1.08,1.128,0.926,0.936,0.875
51720,3.486,3.504,2.931,3.262,3.348,3.198,1.935,2.715,1.601,1.403,1.443,1.339,0.859,1.092,1.019
51830,3.261,3.312,3.007,2.831,2.707,3.341,4.164,2.261,1.982,2.234,1.598,1.472,2.364,1.573,1.745
36043,2.111,1.669,1.596,1.727,1.615,1.469,1.108,1.182,0.985,0.766,0.985,0.608,0.631,0.759,0.86
36007,2.482,2.839,3.413,1.999,2.254,0.949,1.818,2.012,1.247,1.423,1.339,0.55,0.649,0.999,1.337
51750,3.42,2.803,3.936,1.558,2.567,1.809,1.707,2.74,1.19,1.377,1.058,1.917,0.864,1,0.822
54047,1.512,1.469,1.305,1.264,0.827,1.208,1.59,1.475,1.294,1.241,0.835,0.558,0.988,1.244,0.714
54033,3.947,4.299,3.863,3.045,3.975,4.206,2.919,3.009,2.821,2.594,2.211,1.409,2.071,1.902,1.975
54007,2.769,3.21,2.234,1.898,2.109,2.706,1.124,2.331,1.437,1.169,0.905,0.597,0.708,0.662,0.921
13021,1.416,1.437,2.09,1.484,2.041,1.642,1.676,1.588,1.265,1.162,1.043,1.072,0.774,0.708,0.696
51550,3.89,3.602,3.601,2.966,4.187,1.954,2.974,2.172,2.087,1.309,1.617,1.321,1.624,1.166,1.374
36049,3.859,2.296,2.476,2.243,2.469,1.258,1.317,1.29,1.048,0.988,0.756,0.662,0.647,0.717,0.782
37029,2.775,2.455,2.393,2.176,2.952,1.106,2.071,1.608,1.398,1.213,1.016,0.93,0.942,0.791,1.073
42007,6.509,7.034,6.813,6.948,7.149,5.519,5.875,5.098,6.891,3.988,4.702,2.611,4.069,2.557,3.301
13009,1.452,1.666,2.068,1.601,1.846,1.556,1.774,1.506,1.14,1.057,0.964,0.884,1.097,0.556,0.639
42025,5.729,5.463,5.527,5.082,5.348,3.986,3.056,2.513,2.875,2.257,2.816,1.889,1.294,1.565,1.781
13177,1.033,0.915,1.171,1.342,1.164,1.178,1.035,0.878,0.755,0.802,0.799,0.68,0.45,0.543,0.52
24011,5.183,6.315,5.947,7.129,4.018,5.58,3.932,4.033,4.741,2.822,3.097,2.128,2.897,2.661,2.353
13083,3.246,2.64,2.894,2.75,3.164,2.135,2.412,2.237,1.306,1.931,1.322,1.311,0.986,0.946,1.134
13131,1.034,0.936,0.833,0.769,0.88,0.862,0.647,0.615,0.54,0.541,0.384,0.428,0.45,0.449,0.311
54089,1.886,1.829,1.517,1.63,1.679,1.552,1.122,1.523,1.743,1.653,0.707,0.792,1.139,1.057,0.829
13143,1.839,1.925,1.974,2.05,1.783,1.496,1.772,2.22,1.459,1.489,1.437,1.207,1.191,0.99,1.069
13227,1.986,1.672,2.148,2.19,2.074,2.356,1.942,1.824,0.889,0.861,1.056,1.162,0.94,0.965,0.867
42109,5.131,5.619,5.092,5.561,5.12,4.137,1.985,2.841,2.114,1.813,1.944,0.998,1.173,2.105,1.299
51690,2.926,2.694,2.584,2.308,2.24,2.1,2.288,2.499,2.317,1.12,1.148,0.771,0.762,1.177,0.788
36017,2.008,2.044,2.053,1.448,1.398,0.97,2.062,1.421,1.32,1.394,1.126,1.349,0.887,1.078,1.092
13275,1.085,1.018,0.984,0.866,0.979,0.854,0.753,0.649,0.525,0.538,0.351,0.386,0.39,0.383,0.276
37041,2.354,1.862,1.729,1.787,1.813,1.134,1.515,1.279,1.32,0.923,0.881,0.733,0.669,0.675,0.77
37169,3.169,2.948,2.966,2.85,2.947,2.525,1.875,2.199,1.936,1.422,1.242,0.984,0.9,1.13,0.806
54069,5.954,8.015,6.247,6.245,5.993,5.026,5.292,4.094,3.726,3.328,3.592,2.47,2.752,2.988,2.454
51775,3.298,2.727,3.121,2.052,2.73,2.057,3.154,2.411,1.838,1.956,1.337,1.847,1.859,1.231,1.473
51630,3.761,3.649,3.204,2.962,3.363,3.865,3.403,3.433,2.39,1.897,1.734,1.686,1.918,1.803,1.761
13097,3.428,3.56,4.181,3.659,3.191,3.237,3.371,3.406,2.403,2.121,2.623,2.007,2.584,2.036,1.832
37069,2.639,2.171,2.304,1.984,1.694,2.422,1.751,2.414,1.642,1.04,1.301,1.024,0.991,1.221,1.081
13139,1.58,1.565,1.857,1.883,1.868,2.019,1.872,1.683,1.38,1.763,1.287,1.128,1.222,1.14,1.101
