"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13125,2546,2562,23634,24229,24920,25575,26175,26808,27665,27996,28211,28174,28292,28283,28210
13127,66808,67426,2574,2586,2618,2644,2720,2763,2893,2988,3010,3066,3082,3114,3126
13129,42269,43354,67696,68558,69408,70391,71475,72589,74870,76513,78013,78946,79626,80234,81026
13131,23149,23568,44401,45757,46939,48145,49426,50602,52161,53409,54567,54945,55186,55472,55674
13133,13712,14199,23624,23635,23635,23716,23840,24031,24384,24624,24728,24893,25011,25169,25352
13135,540954,567569,14389,14703,14984,15110,15330,15499,15587,15823,15869,15934,15994,16085,16169
13137,33984,35196,595584,620025,641986,663391,687468,710978,740267,764129,780721,796276,805321,824537,839357
13139,129182,134781,36095,36914,37421,38051,38491,39155,40616,41865,42550,42947,43041,43096,43478
13141,10058,10021,140993,146148,150229,153561,156385,160979,166524,172446,177277,178503,179684,182878,184929
13143,24764,25301,10066,10022,9829,9764,9673,9634,9650,9889,9808,9508,9429,9383,9050
13145,23019,23382,25788,26232,26676,27227,27621,27987,28121,28558,28645,28774,28780,28515,28390
13147,22359,22754,23912,24547,25327,26256,27180,28170,29289,30276,30807,31494,32024,32365,32611
13149,10292,10737,23046,23049,23286,23402,23966,24376,24764,24894,25138,25108,25213,25469,25582
13151,104603,113011,11038,11173,11207,11169,11273,11350,11553,11618,11809,11765,11834,11723,11657
13153,107073,109216,121774,131000,140747,150928,159971,169607,180304,188736,194658,199622,203922,207039,208275
13155,9635,9793,111294,113432,116411,119396,123723,126201,128978,132373,134922,137416,139900,144154,146340
13157,38889,40445,9905,9953,9775,9777,9402,9779,9852,9493,9803,9536,9538,9719,9642
13159,10681,11177,41845,43367,44940,46230,48288,50607,54037,57521,59420,60052,60485,60544,60448
13161,12595,12609,11496,11629,12027,12417,12588,12985,13370,13569,13769,13842,13900,13774,13586
13163,17400,17342,12734,12877,13088,13234,13433,13729,14028,14204,14577,14892,15068,15096,15134
13165,8537,8510,17229,17121,17091,17019,16988,16924,16889,16830,16925,17067,16930,16811,16414
13167,8515,8551,8584,8577,8543,8518,8490,8510,8533,8442,8340,8339,8340,8141,9143
13169,23111,23437,8567,8768,9436,9456,9613,9516,9638,10107,10127,9990,9980,9931,9894
13171,15215,15593,23762,24315,24909,25738,26537,27189,27563,28000,28552,28710,28669,28893,28778
13173,7156,7170,16024,16464,16289,16470,16567,16961,17115,17476,18025,18233,18317,18182,18055
13175,44264,44573,7283,7253,7422,7748,7824,8068,8509,9013,9560,9810,10078,10486,10480
13177,23657,24335,44931,45123,45634,46277,46329,46751,47287,47649,48192,48601,48434,48027,48004
13179,61223,61987,24808,24945,25115,25260,25965,26505,27365,27792,28111,28326,28298,28615,28748
13181,8227,8313,61811,61388,62505,60403,63254,64718,63047,63708,62635,67061,63453,65139,65426
13183,9812,10108,8335,8375,8375,8357,8284,8274,8198,8161,8156,8073,7996,7877,7752
