"ID","Longitude","Latitude","x","y","STATE_ID","STATE","FIPS","COUNTY","SOC"
212,-105.8886099,38.27434001,-855379.13,1738117.15,8,"Colorado",8109,"Saguache County",5.051
213,-105.88127,37.79412996,-860332.81,1684518.48,8,"Colorado",8109,"Saguache County",0.73
219,-105.6483947,38.84398147,-828201.26,1799501.37,8,"Colorado",8093,"Park County",3.923
223,-105.57823,37.53874002,-836918.81,1653339.41,8,"Colorado",8003,"Alamosa County",1.948
225,-105.53732,38.05137002,-827599.9,1710145.4,8,"Colorado",8027,"Custer County",8.902
227,-105.5213699,40.64352999,-797165.21,1999037.47,8,"Colorado",8069,"Larimer County",12.025
229,-105.4820954,40.84707337,-791617.2,2021391.35,8,"Colorado",8069,"Larimer County",12.728
230,-105.46142,40.03581,-798929.43,1930793.15,8,"Colorado",8013,"Boulder County",15.303
236,-105.34428,40.57124,-783181.7,1989507.89,8,"Colorado",8069,"Larimer County",11.187
237,-105.3156,37.18439003,-817931.87,1611538.6,8,"Colorado",8023,"Costilla County",3.678
249,-105.12488,38.06527002,-791773.66,1708181.85,8,"Colorado",8027,"Custer County",16.652
253,-105.00798,38.97708999,-771987.76,1808957.2,8,"Colorado",8041,"El Paso County",23.19
254,-104.9563264,40.7084946,-749317.49,2001681.77,8,"Colorado",8069,"Larimer County",2.784
255,-104.9098287,37.13303052,-782949.81,1602392.14,8,"Colorado",8071,"Las Animas County",3.344
258,-104.8406783,39.64298018,-750759.16,1881917.3,8,"Colorado",8005,"Arapahoe County",1.309
259,-104.83502,40.10837004,-745438.92,1933795.59,8,"Colorado",8123,"Weld County",11.275
261,-104.8102829,38.94078518,-755470.84,1803317.13,8,"Colorado",8041,"El Paso County",6.536
262,-104.729801,38.64987718,-751580.17,1770211.28,8,"Colorado",8041,"El Paso County",11.589
264,-104.6879828,39.15531456,-742818.08,1826295.96,8,"Colorado",8035,"Douglas County",8.221
266,-104.67445,37.72276998,-756299.98,1666293.66,8,"Colorado",8055,"Huerfano County",3.211
267,-104.66926,39.50217996,-737680.37,1864862.85,8,"Colorado",8035,"Douglas County",3.459
271,-104.60513,37.12013999,-756379.59,1598486.09,8,"Colorado",8071,"Las Animas County",3.564
276,-104.53521,38.92890004,-732067.65,1799837.71,8,"Colorado",8041,"El Paso County",6.384
278,-104.5048701,39.61835,-722566.36,1876565.56,8,"Colorado",8005,"Arapahoe County",4.717
279,-104.49756,40.39664999,-714159.78,1963366.42,8,"Colorado",8123,"Weld County",13.351
282,-104.44425,39.95647999,-714067.44,1913846.65,8,"Colorado",8001,"Adams County",2.304
283,-104.4320164,40.91301225,-703541.11,2020482.29,8,"Colorado",8123,"Weld County",5.378
284,-104.42155,39.61246003,-715564.61,1875277.68,8,"Colorado",8005,"Arapahoe County",2.23
286,-104.3802599,40.52391996,-703071.74,1976692.1,8,"Colorado",8123,"Weld County",4.517
291,-104.26771,40.38669996,-694988.8,1960552.02,8,"Colorado",8123,"Weld County",0.528
292,-104.24721,39.14085996,-705369.84,1821323.9,8,"Colorado",8039,"Elbert County",2.397
295,-104.2306986,37.2635755,-722161.45,1611583.47,8,"Colorado",8071,"Las Animas County",16.147
299,-104.18088,38.30523999,-707763.57,1727520.03,8,"Colorado",8101,"Pueblo County",1.11
300,-104.16236,38.64345999,-702913.2,1765152.45,8,"Colorado",8041,"El Paso County",1.049
301,-104.16187,38.09162001,-708176.84,1703523.22,8,"Colorado",8101,"Pueblo County",4.624
304,-104.0758277,38.95179339,-692546.09,1798950.65,8,"Colorado",8041,"El Paso County",5.699
306,-104.0096334,39.44205112,-682257.49,1853222.18,8,"Colorado",8039,"Elbert County",3.067
