X2015.01.01,X2015.01.02,X2015.01.03,X2015.01.04,X2015.01.05,X2015.01.06,X2015.01.07,X2015.01.08,X2015.01.09,X2015.01.10,X2015.01.11,X2015.01.12,X2015.01.13,X2015.01.14,X2015.01.15,X2015.01.16,X2015.01.17,X2015.01.18,X2015.01.19,X2015.01.20,X2015.01.21,X2015.01.22,X2015.01.23,X2015.01.24,X2015.01.25,X2015.01.26,X2015.01.27,X2015.01.28,X2015.01.29,X2015.01.30,X2015.01.31,X2015.02.01,X2015.02.02,X2015.02.03,X2015.02.04,X2015.02.05,X2015.02.06,X2015.02.07,X2015.02.08,X2015.02.09,X2015.02.10,X2015.02.11,X2015.02.12,X2015.02.13,X2015.02.14,X2015.02.15,X2015.02.16,X2015.02.17,X2015.02.18,X2015.02.19,X2015.02.20,X2015.02.21,X2015.02.22,X2015.02.23,X2015.02.24,X2015.02.25,X2015.02.26,X2015.02.27,X2015.02.28,X2015.03.01,X2015.03.02,X2015.03.03,X2015.03.04,X2015.03.05,X2015.03.06,X2015.03.07,X2015.03.08,X2015.03.09,X2015.03.10,X2015.03.11,X2015.03.12,X2015.03.13,X2015.03.14,X2015.03.15,X2015.03.16,X2015.03.17,X2015.03.18,X2015.03.19,X2015.03.20,X2015.03.21,X2015.03.22,X2015.03.23,X2015.03.24,X2015.03.25,X2015.03.26,X2015.03.27,X2015.03.28,X2015.03.29,X2015.03.30,X2015.03.31,X2015.04.01,lon,lat
20.55446,19.71513,18.42802,18.77281,17.06301,16.5037,16.49545,15.97344,16.82791,15.31247,13.98356,15.06115,15.62878,16.66627,17.11589,17.03573,15.95504,15.22675,14.83937,14.36755,15.55265,16.78977,17.01839,17.35367,17.31835,17.2444,17.53498,17.43509,16.6191,15.3867,15.11029,15.73544,16.94945,17.9521,18.98402,18.10007,17.37136,17.78186,18.24685,17.7385,17.59829,17.08444,17.76642,17.75986,18.69562,18.84937,19.53973,19.76419,20.44497,19.28856,19.76482,20.59738,22.48581,23.65159,23.81627,23.92885,23.3577,22.42476,23.22552,23.31533,20.80922,21.57085,21.17509,19.37407,19.24682,20.23383,21.7007,22.26826,22.27489,21.07555,21.52326,22.68418,24.48661,24.53244,25.2044,24.95069,22.65331,21.99671,22.58923,23.5744,24.57854,25.3535,25.58,26.81473,25.54905,24.39292,23.90601,24.02064,25.10521,24.22021,19.40889,325033.071992712,2890703.7377385
20.62432,19.75531,18.46933,18.7922,17.1333,16.61903,16.56172,16.0366,16.86154,15.41892,14.07217,15.07941,15.71049,16.79591,17.20274,17.17567,16.05902,15.31233,14.96006,14.46913,15.65614,16.82136,17.07613,17.47647,17.49889,17.38356,17.58278,17.43121,16.74007,15.42801,15.1664,15.69801,16.92329,18.01893,18.93051,18.18354,17.50996,17.91044,18.44374,17.77058,17.66561,17.18413,17.86998,17.76966,18.73207,18.84429,19.55517,19.77984,20.50806,19.24859,19.69461,20.61014,22.50012,23.71659,23.80675,23.93654,23.35953,22.4653,23.23433,23.36693,20.91637,21.61152,21.17213,19.40283,19.29335,20.178,21.71071,22.21694,22.10661,21.0974,21.5098,22.73656,24.36952,24.40442,25.12058,24.86602,22.57104,21.91191,22.45782,23.59428,24.51664,25.3186,25.5413,26.7639,25.50281,24.44178,23.88557,24.09995,25.16682,24.247,19.53353,337532.855298959,2890541.58271771
20.69425,19.79563,18.51092,18.81158,17.20365,16.73394,16.62813,16.09962,16.89495,15.52515,14.16086,15.09746,15.79219,16.92555,17.28973,17.31581,16.16279,15.39791,15.08096,14.57065,15.75976,16.85287,17.13421,17.5992,17.67943,17.52264,17.63057,17.42741,16.8609,15.46946,15.22245,15.66079,16.89735,18.08569,18.87729,18.26708,17.64883,18.03902,18.64049,17.80265,17.733,17.28381,17.97332,17.77953,18.76851,18.83908,19.57075,19.79549,20.57115,19.20876,19.62419,20.62283,22.51457,23.78173,23.79724,23.94422,23.36115,22.50555,23.24307,23.41854,21.02338,21.65213,21.16924,19.43152,19.33981,20.12231,21.72058,22.1659,21.93813,21.11911,21.49676,22.78873,24.25257,24.27633,25.03676,24.78143,22.48884,21.82668,22.32614,23.61409,24.45454,25.28349,25.50274,26.71307,25.45656,24.49028,23.86512,24.17904,25.2283,24.27372,19.65817,350032.161789733,2890391.45118446
20.70859,19.81854,18.52446,18.75406,17.2088,16.77715,16.6246,16.017,16.79584,15.57944,14.22515,15.13665,15.8641,16.99379,17.37094,17.37644,16.24414,15.39135,15.11508,14.62408,15.78183,16.8652,17.19949,17.59681,17.69698,17.55028,17.70509,17.47161,16.90362,15.45924,15.15921,15.60453,16.83242,18.03642,18.86326,18.30218,17.69508,18.03952,18.63831,17.86878,17.82796,17.33625,17.9397,17.79504,18.70979,18.75068,19.46233,19.71886,20.52942,19.12959,19.60381,20.59272,22.48666,23.72068,23.69671,23.84567,23.34952,22.51528,23.21664,23.35854,21.07555,21.6271,21.09225,19.42814,19.35976,20.11392,21.61068,22.15448,21.90415,21.11094,21.51086,22.79472,24.20914,24.18644,24.9105,24.66278,22.40784,21.76746,22.27693,23.56037,24.36522,25.16767,25.46206,26.6485,25.39544,24.42338,23.79378,24.22077,25.14553,24.2231,19.80085,362531.028149823,2890253.3403675
20.72301,19.84124,18.53792,18.69647,17.21359,16.82044,16.62101,15.93438,16.69672,15.63386,14.2893,15.17557,15.93593,17.0621,17.45229,17.43706,16.32556,15.38487,15.1492,14.67738,15.80389,16.87733,17.2652,17.59455,17.71453,17.57763,17.7796,17.51595,16.9462,15.44867,15.09605,15.54835,16.7675,17.98721,18.84916,18.33729,17.74139,18.0398,18.63605,17.93497,17.92292,17.38891,17.90572,17.81055,18.651,18.66242,19.35391,19.64223,20.48705,19.05035,19.58337,20.56269,22.45888,23.65949,23.59597,23.74704,23.33782,22.52501,23.19062,23.29834,21.12786,21.60194,21.01534,19.42468,19.37964,20.10539,21.50078,22.14313,21.87045,21.10283,21.52474,22.80071,24.16593,24.09691,24.78446,24.54414,22.32691,21.70796,22.22787,23.50644,24.27618,25.05156,25.4211,26.58371,25.33425,24.35662,23.72237,24.26258,25.06277,24.17227,19.94353,375029.491062422,2890127.24771767
20.73751,19.86394,18.55146,18.6388,17.21881,16.86358,16.61755,15.85183,16.5976,15.68793,14.35366,15.21448,16.00777,17.13034,17.5335,17.49776,16.40691,15.37817,15.18339,14.73074,15.82596,16.8896,17.33047,17.59215,17.73216,17.60498,17.85419,17.56008,16.98878,15.43845,15.03288,15.49216,16.70264,17.938,18.83534,18.37233,17.78757,18.04001,18.63387,18.0011,18.01773,17.4415,17.87216,17.82613,18.59206,18.57416,19.24541,19.56553,20.44511,18.97119,19.56286,20.53252,22.43111,23.59851,23.49538,23.64842,23.32605,22.53466,23.16454,23.23835,21.17988,21.57663,20.93829,19.4213,19.39945,20.09707,21.39101,22.13178,21.83662,21.09479,21.53906,22.80671,24.12264,24.00724,24.65834,24.42549,22.24591,21.64889,22.17845,23.45237,24.18708,24.93539,25.3805,26.51893,25.27306,24.28979,23.65075,24.30431,24.98008,24.12159,20.08621,387527.587209253,2890013.17090779
20.75185,19.88664,18.56499,18.58128,17.22396,16.90694,16.61417,15.76921,16.49856,15.74235,14.41802,15.25347,16.0796,17.19837,17.61464,17.55832,16.48819,15.37155,15.21765,14.78389,15.84802,16.90207,17.39611,17.58983,17.74985,17.63248,17.92856,17.60442,17.03129,15.42794,14.96979,15.43584,16.63786,17.88873,18.82124,18.40757,17.83388,18.04058,18.6314,18.06736,18.11269,17.49409,17.83854,17.8415,18.5332,18.48575,19.13706,19.48898,20.40309,18.89209,19.54248,20.50263,22.40333,23.53753,23.39457,23.5498,23.31456,22.54453,23.13839,23.17829,21.23184,21.55189,20.86131,19.41778,19.41933,20.08868,21.28111,22.1205,21.80257,21.08654,21.55323,22.81249,24.07922,23.91729,24.53215,24.30678,22.16506,21.58953,22.12931,23.39866,24.09783,24.81949,25.33961,26.45435,25.21208,24.2231,23.57955,24.34612,24.89725,24.07069,20.2289,400025.353270704,2889911.10783261
20.76627,19.90955,18.57846,18.52375,17.2291,16.95001,16.61057,15.68631,16.39944,15.7967,14.48239,15.29252,16.15137,17.26661,17.69578,17.61901,16.56948,15.36492,15.25177,14.83726,15.87009,16.91406,17.4616,17.58757,17.76762,17.66004,18.00314,17.64883,17.07401,15.41779,14.90663,15.37979,16.57286,17.83938,18.80721,18.44268,17.8802,18.04086,18.62935,18.13342,18.20772,17.54661,17.80484,17.85701,18.47448,18.39742,19.02857,19.41228,20.36115,18.81285,19.52197,20.4726,22.37548,23.47641,23.29397,23.45103,23.30278,22.55426,23.1123,23.11815,21.28393,21.52665,20.78447,19.41425,19.43892,20.08015,21.17114,22.10922,21.76894,21.0783,21.56732,22.81841,24.03579,23.82755,24.40604,24.18814,22.08392,21.53024,22.08004,23.3448,24.00887,24.70353,25.29907,26.38964,25.15075,24.15599,23.50807,24.38792,24.81477,24.01986,20.37214,412522.825925963,2889821.05660869
20.78593,20.00479,18.74461,18.06363,17.19315,17.10517,16.69947,15.57189,16.10773,16.01665,14.79665,15.45579,16.42348,17.28902,17.8587,17.67273,16.73556,15.58543,15.54003,15.07067,16.02546,16.99992,17.7593,17.63304,17.92017,17.72328,18.07596,17.88513,17.27612,15.60023,14.67329,15.13969,16.37307,17.65912,18.73136,18.66228,18.01238,18.07942,18.47419,18.413,18.43211,17.62042,17.83515,18.0405,18.23761,18.07392,18.60242,19.18014,19.99619,18.13074,19.44971,20.3369,22.04472,23.17039,22.79352,23.13634,23.14896,22.66318,23.1209,22.96039,21.41555,21.30064,20.48804,19.45831,19.39472,20.13352,20.7734,22.11028,22.2376,21.25038,21.72481,22.6366,24.04644,23.9199,24.07929,23.79999,22.28885,21.82287,22.1549,23.25759,23.91384,24.46483,25.19446,26.08806,25.03394,23.5885,22.98379,24.41851,24.6042,23.60006,20.84644,475007.071813473,2889550.92785688
20.64333,19.95439,18.59248,18.92254,17.08691,16.42066,16.42186,16.00248,16.92653,15.31078,13.91955,15.11015,15.6481,16.67,17.20429,17.18695,16.11457,15.34215,14.81731,14.26371,15.43111,16.88269,17.09354,17.36967,17.2327,17.25793,17.73371,17.75161,16.73359,15.62787,15.2307,15.83872,17.13992,18.07646,19.2311,18.19574,17.28536,17.76233,18.34082,17.98418,17.7741,17.1297,17.95591,17.95612,18.76893,18.98627,19.76581,20.09658,20.46957,19.33896,19.88636,20.75423,22.59106,23.76925,23.81761,24.07605,23.67451,22.58253,23.52372,23.43708,21.06307,21.7571,21.44628,19.53839,19.36737,20.42621,21.98353,22.48348,22.70992,21.21647,21.6596,22.80508,24.87786,24.97099,25.52515,25.33383,23.04442,22.26022,22.90843,23.84271,24.77487,25.56773,25.9267,27.03298,25.62039,24.55513,24.09536,24.20844,25.27666,24.41076,19.73148,324847.196518477,2876856.66547027
